inj_dosage    : [1.0]
T_delay       : [28]
meas_protocol : 4d
mouse_1,mouse_2
1.057827598886259,1.3077396224911224
1.6699451829133938,3.0973871322397595
1.7136288958350656,4.44065956036194
1.7394562319510536,4.7058038962769455
2.058184444336422,5.31863527766984
2.3875200596818904,6.389380912113078
2.9134839043649317,6.806279130789081
3.6462320104333377,7.952857234273501
3.722976922444752,7.987499335997923
4.030891594072208,8.959728678515186
4.148809236296665,13.86539095009374
4.263523319450287,15.913279898782518
5.918735256503266,16.006598060036904
6.094543398531973,19.829176639873438
6.26037533776802,23.20364926692009
6.623619959299084,25.88375566619566
7.103826822624455,28.34794281751859
7.267535961643247,39.28325929743855
7.462549920368203,39.502883306096756
8.277741297680029,43.0957058554975
8.282481903033151,52.979892249479214
8.586042337353737,68.83732180675135
9.799870696600513,74.60188661473198
9.991537016528065,77.41078503832176
9.995109904789324,83.97738905910015
10.116247019996157,86.34838848960007
10.345632064707324,100.1568861606082
10.378183762730353,100.23174279703298
10.679330175457293,120.86841303161582
10.690068279639565,146.79611607881066
10.852485747718047,173.85194260686623
10.97624972207911,174.31370114588182
11.250510157005088,220.08308684615906
11.650886149737763,390.49960557875403
11.965458455550538,410.39721270594777
12.08472343078226,
12.244054584635425,
13.005894373028717,
13.04839328744482,
13.986563362843091,
14.310912943832198,
14.598048346600047,
15.184998732964925,
15.549744820868087,
16.05926385956055,
16.12237679580462,
16.268048076213745,
16.26897229031321,
16.36141732792927,
16.4561731780421,
16.457367534362717,
16.496820722896313,
16.55909825832124,
16.994504625498994,
17.13643988275493,
17.60136948563322,
17.811575551431734,
17.97959229639005,
18.61601130583181,
18.803268416862885,
19.3683842895046,
19.392339191346725,
19.408223133157655,
19.451881639526736,
19.5572485888341,
19.596111785771992,
20.015765036264437,
20.09320047236759,
20.56932949489793,
20.63471597058486,
20.99323508998011,
21.20496114122446,
21.476960273576132,
22.05206084842914,
22.32976787790862,
23.44276388475182,
23.456555941724215,
23.61990802780444,
23.876629305744363,
24.65431168151993,
24.693527589497723,
25.2749621370718,
25.711282173474835,
26.532354722369377,
27.627975192694286,
27.801993091307825,
28.043917498317096,
28.045258983015962,
28.154075784462194,
29.568639124222596,
29.59713863248208,
29.94071388493058,
30.085211913058252,
31.072394268567546,
31.15447593503049,
31.445973272645702,
31.96470720898467,
31.975652255911655,
32.328694445603965,
32.73217612511794,
32.837370669868626,
33.25775007633603,
33.42855535925009,
33.60006561221814,
33.71156993141651,
35.14837784664506,
35.16939269307876,
35.432017376298056,
35.50258171312007,
36.16163934806152,
36.219475024212194,
36.60598410868792,
37.23062937527888,
37.84985651403211,
38.155156057327446,
38.78177774355967,
38.93791012792811,
39.210427980187234,
40.07212021008173,
40.91813350276146,
41.158701571394985,
41.61019340336913,
41.6250878671049,
41.680156279818455,
41.94499331616908,
43.12457685139911,
43.74554901077662,
43.9951135029529,
45.480051497049125,
45.55222188511913,
46.213724822711924,
46.609578507150104,
46.86930886738828,
47.1869955986854,
47.37608971793192,
47.65409361859871,
47.89539934536091,
48.316237169141516,
48.868843724129405,
49.70379637121086,
49.780321486555394,
49.90971187898917,
50.558309221739535,
50.86453648486812,
50.91907208557484,
51.843938995582455,
52.013275764764266,
52.13119944494533,
53.16557530332991,
54.44559562563103,
55.592495322718555,
55.8044825607911,
55.99843055752021,
56.191102255071115,
57.763899795730644,
58.567183620293726,
60.105910123481735,
60.78256972903504,
61.31590618847335,
61.96033159051064,
62.05053453354086,
63.40438515166951,
63.67843622144549,
63.863575485202,
64.2265511944545,
64.5044000618297,
66.0495541251942,
66.5181700312024,
68.1405861072058,
68.5634912967087,
69.0385193924074,
69.71183905467007,
70.16890948979527,
71.43363017912527,
71.53197844178081,
71.66291292090293,
72.47590437467025,
72.76636482533775,
74.02744655999358,
74.31956825384334,
74.81354614853572,
76.08517610977889,
76.52530873334082,
77.08481730996678,
77.67549586598506,
80.43167067351881,
80.47881195499278,
80.76352327948773,
81.66044089078584,
82.63956203580503,
83.15836889321686,
83.76726923792206,
85.31151643335201,
85.83789044745787,
87.18986985726976,
88.71266728759366,
88.81009574107435,
89.10325743858178,
89.15599066247665,
89.18702622255111,
89.35961491048383,
89.5098867015043,
91.62053210562283,
91.78193554271152,
92.5409076548193,
93.05165815126608,
93.43317128432751,
93.5395341287055,
94.09011216178394,
94.5935598419106,
95.13619425673576,
95.38451261674868,
96.86762526226644,
96.96571708846683,
102.2217362615194,
103.81611077023989,
106.34036752557637,
106.51066506189561,
106.7759003339074,
108.1309582092186,
109.46716500086923,
109.69479989062914,
118.13073479613232,
119.07136201596857,
119.31685595276853,
120.42475582221381,
121.44861179971828,
124.83432002589473,
127.42494751210329,
128.02681307882543,
128.69013309779396,
130.2242721198644,
131.50093653784077,
132.17742792173226,
133.18826997494963,
133.3003644329478,
133.86858721611628,
134.4357775737072,
135.10999576148095,
138.74582517562848,
144.03971594548364,
150.6978349145813,
153.83818555895039,
155.20204560118154,
155.28275992871832,
155.71481369399532,
155.83320482688583,
161.54873672204513,
162.58390562265762,
177.7880035831656,
190.12919625755546,
190.56585359468798,
196.6914595342255,
197.43236626777116,
197.75749255030757,
201.06281469997705,
202.89637210192112,
205.6579665775439,
207.77404879644382,
208.57177814687313,
212.99017830168336,
218.1670815778577,
224.14410432165363,
227.33107945935816,
238.06068384000008,
238.16119682313834,
239.15594313278967,
239.38767547568156,
239.4617665878021,
242.7366688799058,
243.93419395893613,
245.4247870663833,
250.36007173355003,
257.3205133478632,
258.47396220419614,
262.22479597158787,
266.75917442064735,
