inj_dosage    : [1.0, 1.0]
T_delay       : [28, 28]
meas_protocol : 1d
mouse_1,mouse_2,mouse_3
0.2069455994970985,0.1,494.6797671825561
0.22604899510148213,0.8407436275868563,490.9870079438423
0.2393370296591503,1.1610109305835419,452.17471589070493
0.30037348265326813,1.3903509315148048,447.62379555650807
0.40744157764096717,1.7888347112744203,433.2144303212519
0.6818712136293587,1.8625794456608338,432.41912962715514
0.7490030590198293,2.0386031742348374,416.64632454252364
0.7868755175746222,2.275784401750125,398.54954006615776
1.3131327311946308,2.5936907603644808,392.26516330714196
1.3828658484670417,2.762961629220493,389.653985952274
1.435143728123775,3.5417592721822655,387.13659464158206
1.4433062135341228,3.589494038881094,383.7771179100595
1.4991727506766337,3.9437468519015026,382.8823641634508
1.6134636607832766,4.286356490146916,364.5470907227915
1.7154971229420826,4.4595550461162246,358.3839240999705
2.3321578028077794,4.562101994959537,357.6029270845897
2.456204556020578,5.126311919656978,351.7913036424499
2.6950025991497424,5.1990938471572035,341.26354367659303
3.3110928327524256,5.308923283377,327.36415459639016
4.102008117087667,5.44716656384982,326.74466457947983
4.1377103774422235,5.449213019528755,322.611895545503
4.424764935781868,5.649880559900668,311.6569909243254
4.561849583084258,5.716290472031445,296.00075631041466
4.671984533381488,5.77300039115084,294.1138053621198
5.243758518710153,6.213833640981353,294.0568353726186
5.270401361374249,6.424260789414375,281.7642794886218
5.549506161303151,6.626458092140169,267.30280320923316
5.58493610708342,6.639912618368824,253.18563715730136
5.5857522843833225,6.742409217570832,248.27655312522558
5.63701121878638,6.770676655111418,246.1291705411158
5.698247070834044,6.792269555230791,244.79027195107795
5.8332645673497385,6.930725539190598,239.17768147215853
5.873000014842418,7.0813957110711305,233.32990866979966
6.215889752042712,7.0933636797031046,213.29946387671393
6.294843859893314,7.22385335125579,211.65575576555062
6.42619843695327,7.744421032468273,208.3936750255557
6.436656256651678,9.341042409231678,205.77508275691022
6.449820974111912,10.301745483375427,205.72988525524985
6.515034330020977,10.396617443824702,200.45920387865982
6.708968312508165,10.962229146562448,189.74715503613913
