inj_dosage    : [10.0]
T_delay       : [28]
meas_protocol : 4d
mouse_1,mouse_2,mouse_3
402.73702484713897,4.2167354907684444,20.9284637886988
0.1,6.360413118024348,0.5664620961919997
3.0177271573358655,9.591613214341931,28.15499449947672
8.913525615247737,14.847646247964294,56.706872239978466
15.121010299971642,16.97793008238497,56.763694425525436
15.386358351341414,17.48004045768531,104.78715467653736
16.03036301817928,22.84046262791295,130.92445888776197
18.174144591525742,24.050672855268925,145.11083336649605
18.406793555187235,27.875254901173747,159.15009050112684
19.46957055786206,32.92050926734825,192.23705516786623
23.19035199876106,38.63148271074264,465.3218609363119
25.131836769033736,39.52233679766587,
28.10751543794027,42.346682485835295,
28.645360046622613,42.578664410152705,
35.25114448858505,44.03280370114495,
37.405505578866475,44.192894201791546,
38.585461015887894,44.46084323972251,
38.68132730087019,46.74148219174001,
48.265774695252546,48.3951984797406,
53.969710081816366,48.65925352589153,
55.06238646932258,50.312231644377725,
57.05166894248277,50.57304775678729,
58.43544238721481,54.37053212722701,
65.8982099552066,54.76129501163193,
72.69192931833484,66.73824269326069,
76.9910877548447,70.31089111847999,
77.74008559451663,72.98525211562074,
77.7861472283361,76.53374340244942,
82.46001523226376,78.20007609724517,
90.0711226783759,84.37179866667901,
90.72090450577235,87.79877637739337,
98.56479886192965,88.07334977603702,
101.10484062023674,88.8849545860891,
101.17894410313734,97.54656374567658,
102.65703819241712,100.82867513138996,
103.06372165797609,107.1845826468536,
104.96133399158286,115.5546876790969,
106.03982124297441,116.24024216761198,
108.6343223565954,117.2464229171421,
110.58829235017569,119.5407886975596,
112.00535862213664,120.05829357226555,
114.94325717326963,123.11456997449282,
117.9693699739287,123.82477777090119,
119.46455680547541,126.39536882230564,
125.28061628267874,130.7840666217184,
127.72721476613454,135.39035970721184,
131.96787927612598,136.36189153841337,
135.6829246470968,142.73469127531254,
136.3925874656983,144.75554523539336,
137.05270994756802,145.7301925498304,
139.42544637966884,153.60225614698726,
140.41375858924044,158.7873130731967,
146.8949957226719,160.6406000374562,
147.73384591610613,162.83003833699624,
148.69141606757498,165.86563600900794,
151.83774535307668,169.78237464473438,
155.6433845987252,179.91690657113074,
157.2477114310233,193.42598379098473,
159.9846299332011,194.23211586430622,
163.7712085181148,201.05001367625408,
164.0992664831057,204.22905091238454,
166.87422307193805,209.5233102511069,
167.53276014473937,212.32376443603962,
168.11085992600707,221.58387018470958,
170.37958252141934,224.33521664355698,
184.42072688284392,224.50860072922256,
187.95055131902086,231.37392740057427,
190.8770517158729,233.70320055651513,
195.97248752462394,244.0579250300894,
203.61445184014065,244.06906306624094,
206.44910216940485,245.7404431193225,
207.39678705252604,247.78086801873917,
213.32507665829013,253.65848517136715,
219.30364317816856,258.1899890844912,
226.4734245931847,275.419502481782,
230.27427057627932,276.1212817291244,
236.72764383688454,278.1339263613623,
239.48966940018312,278.4776757087023,
242.175106193017,283.1406089232376,
245.6360352269207,288.1790198316961,
248.7995712236193,290.07961900541073,
254.33132571198192,296.58749250190664,
254.39106412262737,296.8178645152013,
259.0019533818296,324.6514808383927,
262.606469252365,327.60962943445827,
264.50557873091543,342.1432305532896,
267.107428143001,342.80572014943016,
277.15008836730584,354.4479766934864,
281.9519030840294,372.53503383836545,
283.29344363768195,380.07134641068626,
289.15032130183806,385.2520552461006,
293.55003581859256,398.9494652713221,
301.01436120868095,403.35280754301505,
304.4893397149435,413.05133412861994,
306.05779172940447,414.12824017016396,
307.59025678381477,419.26002921620795,
310.67058446254424,424.2413573973421,
312.00562622872854,426.7547345390995,
313.8324175540377,435.44816262535556,
316.8531593736779,457.5834922932605,
318.95998944768525,462.31911259353706,
322.7299088697637,471.1737671128797,
323.05862478417515,490.17720560151514,
323.4025844661336,494.65755746530203,
331.81890773455444,,
334.6031768686346,,
336.71089403526446,,
337.0013131093573,,
339.2674164695374,,
339.37719630852087,,
339.64584597818777,,
341.20632955401726,,
343.35278352090916,,
343.61501191085745,,
370.0638649718369,,
372.00091941587294,,
375.7911624908831,,
383.34421531771574,,
385.333257845876,,
388.31713299680865,,
388.8209711550101,,
388.9686247890205,,
393.28541372070254,,
395.10586487343033,,
395.6199351769742,,
398.050902999449,,
400.303380530908,,
405.82089268643745,,
411.4142760789833,,
411.86327085146803,,
412.0060042089857,,
413.4826816270752,,
416.31917863932006,,
422.4443498598201,,
423.3104933418012,,
424.01253513378424,,
428.9391457846223,,
430.3091733757181,,
437.6341668095253,,
439.7584625009951,,
443.5161667513345,,
446.0082376305006,,
447.68820024234174,,
449.66997173821113,,
450.90386907548015,,
451.15160710682625,,
452.256928486698,,
452.3067031045996,,
452.66350341458656,,
457.30344598134786,,
460.2847306683718,,
462.6055320335054,,
465.6163878689946,,
470.60246018030756,,
471.2299843367023,,
480.1459203818362,,
484.648212759854,,
493.16532660721396,,
