inj_dosage    : [10.0, 10.0]
T_delay       : [56, 28]
meas_protocol : 1d
mouse_1,mouse_2
0.1,3.4774446784920134
0.7244224103860313,4.327939583842895
1.734951907230966,4.5759407689044185
3.756811248713804,6.974109948828248
3.794380053455959,11.248056478539933
3.8703814084796453,12.859998162667024
3.9457913239780162,13.814321464755242
4.678925472286673,15.73688058269914
4.830138900323945,16.79612157711497
5.328574182793344,17.117632787282044
6.347553620622255,17.836180567207947
7.844763848897891,18.541907406811404
8.345470418412676,18.726612997662095
8.419035827396993,19.346816701410198
9.677480684845746,19.38638137866233
9.925509225126843,22.65764564287286
10.017521717382985,23.146811730925393
10.137242595663448,23.422215770669816
11.062425428160992,24.43444743500849
11.814285030910296,30.55134823588269
12.314206225634084,35.53365828883834
12.577710453319105,36.744724617142886
13.855842684756874,40.59606085853
15.980511155022182,44.14717653991916
16.272511705279644,47.21454948191304
16.783641734467253,47.51385226837932
17.940182125848782,48.13196669631253
18.044273019012987,48.192667558084324
18.06049396954422,52.443206278407494
18.485467036061998,53.70107054430547
18.722373942288332,56.89269499182662
19.12570754424955,57.74956069287052
19.430467030377287,58.08770261106418
21.38652158870804,60.318531003541246
21.537096888735725,61.53084044623066
22.21623890718733,62.656899816308986
22.624473998204838,64.69962888455241
24.37356739395284,67.0197057104591
24.87706603606701,67.54671138745279
25.693995109404298,68.00061016876845
25.78283569179205,68.072439402389
26.365648200574118,68.2282380552643
27.519951919787168,73.73823563816114
28.1239682503778,75.42803030211603
28.36481454604381,76.81050888766288
29.040725751658997,78.27647497165933
29.596404402078146,83.11359752174279
30.220846985431272,85.73281407377813
30.408466815183484,90.01899205169272
30.492788159958483,97.57219207813432
30.584291780635123,100.65450254329106
30.783012270003724,105.87917609402376
32.443743986101566,110.42116349468922
32.758765463194244,118.46660353710058
32.96739683507921,119.91592876326861
33.58110762988818,121.02209784729482
33.72982040701778,127.72346087536775
34.45307061255796,133.222050657016
35.023978332016895,134.0290033014863
35.863918626723816,138.1977207304687
36.9214411734301,149.00582492060238
37.04385607038,152.176954505557
37.71437073347061,152.26300351361806
37.905675049779894,157.64379031572543
38.829776962409696,160.49270585105748
40.261579420881546,160.73786667759876
40.734517634663725,161.30530065609082
42.00866334802338,162.80514792451675
42.090323187194194,169.43468164072095
43.553223608434514,169.94756392270648
44.18261814801226,183.98237194998913
46.17816244039993,187.80017571402428
46.33893938349476,202.74770268959148
46.5790898234685,209.96078826832695
49.125700512028615,211.23936848288068
49.18523829564559,216.00008574988448
49.484696972195394,216.55534498480344
52.713506026159415,220.98766164276785
55.30872414660854,232.85957026664417
58.69648629124305,235.68036825341932
59.59848223909346,241.99375412774427
60.19142045630081,247.5473754891613
62.25290957919652,279.2787033545564
64.03692617576675,280.7064162357387
66.28493100029574,290.5875493501484
66.540352865293,296.4369877138931
66.71844813808796,305.42045685651783
66.80074219609267,321.2779134063511
67.7425592121345,325.16552893243073
68.38885171918383,325.41571548112864
69.07010164567669,327.90478707658826
69.53903127554857,331.7040193572154
70.69727222934463,339.44106881020264
71.18524152754605,375.3636121681586
72.72987642073582,403.0504243420151
74.28302283185583,436.04342644297907
76.6848093003663,445.0756965303492
79.76089733259275,445.67811153390477
81.03708980928126,478.68186683968435
81.62977111462043,
82.08213227359582,
85.59033789547829,
86.20662681973447,
86.67523419532135,
87.51285507999437,
88.71402871622122,
92.4482129875308,
93.67805581049508,
93.8529365974151,
95.14832027481715,
95.62216569033825,
97.82190123683077,
101.71266898556347,
105.26424511724626,
108.81309208775897,
110.36933143669869,
113.04977187096758,
113.53939584943745,
115.48983089349487,
117.12226636175363,
117.75936932644926,
123.71758839712676,
124.31996608276255,
126.46359920250174,
133.12904075591132,
135.97293013358689,
137.81750784211678,
148.27988032091926,
154.08384714511683,
154.68418054182433,
155.9110377418425,
156.77636452623057,
167.68531538312308,
170.70996964754087,
173.00561638631385,
174.94273370389135,
175.22025929915563,
177.20220368707723,
178.68040798110903,
182.89645844373356,
186.83314884441887,
188.16560090471592,
189.22098816150378,
191.44590454395816,
197.44792957547148,
198.083142448876,
200.86203455491167,
201.34741608329716,
201.5319043786465,
204.73034658188914,
210.99355244127145,
213.79307820752325,
216.34527176927202,
224.230515633295,
230.108878690343,
230.9380705909654,
232.0681282432758,
237.92685230449356,
237.9830605851846,
251.04973204351808,
251.1773771512013,
254.5291008534695,
260.5765462889867,
261.559881268245,
262.67075729206096,
275.881109293736,
276.03444552395047,
282.3735826729655,
288.28861589394813,
292.99676428204094,
296.87530777110175,
303.94538524279307,
305.5169133257878,
307.8705011086271,
307.94652593746366,
308.8542911210051,
314.4240646092919,
317.8833854257923,
318.9697496813058,
323.23698419649276,
339.08682674191215,
353.8019104549843,
361.0406905493479,
363.1750088525984,
364.2192096173178,
365.40459339808984,
372.23838701444936,
382.0606588905135,
386.0686737692148,
394.64160837640134,
397.1239302733158,
404.0069521425691,
405.4250694342187,
424.95222926604,
445.7693644907009,
446.96923887725376,
484.3527573551871,
486.1562700143788,
492.46186161789655,
