inj_dosage    : [10.0, 10.0]
T_delay       : [28, 28]
meas_protocol : 1d
mouse_1,mouse_2,mouse_3,mouse_4,mouse_5
1.152442227387628,362.1,442.7691817162926,436.02967921937716,443.0021666647987
3.2347075448831126,487.37939595670434,427.20482583424547,402.8917414867952,222.6688767285468
3.6888601323205665,482.5664754475634,323.81947925654845,338.0010269552532,107.96984218680785
7.844797222929841,447.45602593227994,272.7822368674424,269.78848623307204,99.95070662357332
10.094686768710924,447.2201133842635,253.83888546502052,224.01450075936452,86.86346090504712
11.819127670704704,423.3895884510147,239.55356886762638,181.94870704562663,57.99956081429306
12.356072265014397,381.1,214.57926404598007,177.43966071369312,28.93508416737267
12.611110576039307,400.86181788783136,145.49473590805638,145.2615765209355,21.980459206261692
12.76118307364686,399.26039588720425,124.6917337367152,112.32519375586436,0.1
12.843818900933394,251.1,100.63672127775949,97.1727000824904,
13.101183110885644,394.9568488429161,92.38096854229958,96.1958478238738,
15.263219668304847,30.1,86.32886177955587,71.42695992592193,
16.050002506272065,387.88293979355785,82.64076159902201,39.999799279624206,
16.885680265928457,360.83135552114567,59.686983328118,28.17582023892977,
18.77030527911347,360.5475536259323,41.988800108793214,8.729834709401759,
19.49506051279592,342.78674237978873,32.56551509365871,,
19.836134118578702,338.1492106503483,10.847386515544459,,
21.57481175987495,332.2331424126395,1.0200621623763702,,
21.587093988511334,291.1,,,
21.686228061020838,328.0334796701195,,,
21.888087194977864,256.1,,,
23.494640762791864,320.4275259665455,,,
25.390785785917377,314.3794621399527,,,
25.822830923513298,308.5577307724138,,,
26.01091876498641,298.83138402197375,,,
26.984225123689416,67.1,,,
27.049137230473207,288.5270021012931,,,
27.11970447666605,286.9831005756869,,,
28.90883253794314,280.5351617537832,,,
29.25700374219241,243.1,,,
29.810868982357434,252.96540583483042,,,
29.96047134551231,102.1,,,
30.706935224839494,250.00783872420587,,,
30.894540719888337,241.02063310380564,,,
30.928465155800904,238.29182676896272,,,
31.15115086914191,377.1,,,
32.52096364745186,296.1,,,
32.67923648351459,226.87797141848603,,,
32.93355892879961,214.1,,,
33.389435250629234,226.16746646343265,,,
33.518973869176044,428.1,,,
34.2295441882885,78.1,,,
34.78589120014414,216.80099289892686,,,
34.98384976579316,214.96071415934654,,,
35.01412620569254,193.37223901116914,,,
35.311911175486955,192.6330754774453,,,
35.31745977353265,230.1,,,
35.42767348374007,176.56360552383987,,,
37.14308851048211,174.36545999387414,,,
38.081075574147405,283.1,,,
38.9044311018993,161.42499639504507,,,
40.43341355936998,160.1234638455527,,,
40.54503560717156,158.2767305837388,,,
40.97463700631369,157.13338697732416,,,
41.423676837420636,275.1,,,
41.990050085187704,151.71776699456035,,,
42.22431600515576,151.04317053814904,,,
42.29886006485208,147.19522657412955,,,
43.39782597254745,152.1,,,
43.45446355447443,203.1,,,
43.61028066685595,235.1,,,
44.072829376476655,426.1,,,
44.32355569243472,141.42609294408953,,,
44.653779394233524,140.23232735487912,,,
45.546078760318196,223.1,,,
46.001416056711435,139.86714072210466,,,
46.79053692902563,138.67321557663047,,,
46.80751270279555,134.2807866943202,,,
48.61225450995294,331.1,,,
49.628025974037755,257.1,,,
50.595413675873715,131.32926370391723,,,
51.39132883926994,258.1,,,
51.74760820227885,128.95012731285365,,,
51.90612338499424,128.55682209895093,,,
52.629027222911944,127.60122295475857,,,
53.050634048610156,125.97194625953729,,,
53.09389967932583,106.1,,,
53.56808233488175,80.1,,,
53.595564093756316,340.1,,,
53.629564954901674,119.10591887735532,,,
53.947299803791715,115.11026382018895,,,
54.70915577799838,114.27307178415222,,,
55.62168382459946,109.2296473192513,,,
55.92724676320214,23.1,,,
56.213865268421934,108.42211209172119,,,
56.49500804657443,45.1,,,
56.72050947390483,106.10670094373323,,,
61.210862928494834,105.88841522338963,,,
61.81681971932508,150.1,,,
62.71517062628081,102.34837836436435,,,
63.01010781687906,102.17911100468127,,,
63.6746461604508,70.1,,,
64.54962435342739,99.28141393506796,,,
65.16354699262511,207.1,,,
65.27884093906187,371.1,,,
65.80139923692077,7.1,,,
66.65470112705503,91.5292466925665,,,
66.79585856006088,91.19346405599603,,,
67.38365626192754,401.1,,,
67.98518236380643,320.1,,,
68.56537518260913,86.3459371583874,,,
68.88986700032214,85.95834523787921,,,
69.46856634655371,85.95343262696416,,,
69.59875019503825,138.1,,,
69.61692825353725,84.76373187883073,,,
69.9188464693345,84.0832289481731,,,
70.87872848757996,108.1,,,
71.37424957774715,8.1,,,
71.37611604160766,81.32255932653246,,,
71.77719852860992,80.26977982560942,,,
71.97723080125003,78.28084203064829,,,
71.98150394269886,276.1,,,
72.05250125645298,96.1,,,
72.16935674331746,77.76347246675859,,,
72.33857938622651,68.1,,,
72.45745929177626,105.1,,,
72.51889721315234,73.30523922790121,,,
72.99899803976537,392.1,,,
72.99960440021435,70.36875430160988,,,
74.2827805297431,153.1,,,
74.38301125827797,309.1,,,
76.24541707368789,66.43673607531159,,,
80.33123615249517,66.28851436374595,,,
80.68296167594872,64.49007451860093,,,
81.15564713079377,82.1,,,
81.84519272634452,167.1,,,
82.50073658623164,54.48768296852578,,,
83.83757740723797,293.1,,,
84.5812943007842,345.1,,,
87.09553998491614,53.89083964713946,,,
87.41791937134805,43.1,,,
87.76274768243253,178.1,,,
87.92995057647266,20.1,,,
88.60530013489873,179.1,,,
88.75693206592862,51.32824472515119,,,
92.39477979360743,49.410143162656134,,,
92.5365639540189,46.96749082171883,,,
92.77986677241279,4.1,,,
93.7487650290005,46.389721631334034,,,
93.90729593223182,383.1,,,
94.39254179445442,233.1,,,
94.99783576003277,85.1,,,
95.55725990341512,64.1,,,
96.02278697758805,56.1,,,
96.43000565922493,93.1,,,
98.91710953474862,39.567331604083314,,,
100.25612627056572,273.1,,,
100.27635465870353,36.2462692938621,,,
102.33350359670813,35.510326846734486,,,
102.57608823125793,35.473680533129254,,,
103.35396121472976,33.728948837540905,,,
103.75734008635656,271.1,,,
105.26664730180487,31.83834463204396,,,
105.55335062094167,31.729821052630484,,,
105.91371287982565,31.66958586569145,,,
107.47168037370102,250.1,,,
108.51518266779208,31.417569149032236,,,
109.27471649973988,30.399424385178328,,,
109.86414113147512,282.1,,,
111.15349067966127,30.095812796821544,,,
111.40333436178064,29.778408824258733,,,
